device_name,applicant,decision_date,k_number,decision_description,contact,product_code,country_code,year,product_description
"SPECIALTY D-UV (OCUFILCON D) SOFT (HYDROPHILIC) CONTACT LENS FOR DAILY WEAR, SPECIALTY D-UV MULTIFOCAL (OCUFLICON D)","SPECIALTY ULTRAVISION, INC.",2001-06-26,K011542,Substantially Equivalent,DEBBIE  MCINTIRE,LPL,US,2001,"Lenses, Soft Contact, Daily Wear"
KONTUR 55 SOFT LENS,"KONTUR KONTACT LENS CO., INC.",2000-08-18,K001908,Substantially Equivalent,KEVIN M RANDALL,LPL,US,2000,"Lenses, Soft Contact, Daily Wear"
VIRECTOMY LENS,"VISIONARY TECHNOLOGIES OF MIAMI, INC.",1994-09-06,K940107,Substantially Equivalent,THOMAS  MESTRITS,HJK,US,1994,"Lens, Contact, Polymethylmethacrylate, Diagnostic"
Pure Plus UV Aspheric (Otufilcon A) Silicone Soft (hydrophilic) Contact Lens for Daily Wear,"Yung Sheng Optical Co., Ltd.",2023-12-20,K223585,Substantially Equivalent,Wen-Han  Chen,LPL,TW,2023,"Lenses, Soft Contact, Daily Wear"
Acuity 200 (fluoroxyfocon A) Rigid Gas Permeable Contact Lens; Acuity 100 (hexafocon A) Rigid Gas Permeable Contact Lens; Acuity 200 with Tangible® Hydra-PEG® (fluoroxyfocon A) Rigid Gas Permeable Contact Lens; Acuity 100 with Tangible® Hydra-PEG® (hexafocon A) Rigid Gas Permeable Contact Lens,"Acuity Polymers, Inc.",2024-04-03,K240618,Substantially Equivalent,James A. Bonafini,HQD,US,2024,"Lens, Contact (Other Material) - Daily"
FRESHLOOK BIFOCAL UV-ABSORBING (PHEMFILCON A) MOLDED SPHERICAL HANDLING TINT AND COLORED SOFT (HYDROPHILIC0 CONTACT LENS,WESLEY JESSEN CORP.,1999-05-14,K991550,Substantially Equivalent,JOSEPH  FOOS,LPL,US,1999,"Lenses, Soft Contact, Daily Wear"
"METROFOCAL TORIC (HIOXIFILCON A) SOFT (MULTIFOCAL) DAILY WEAR CONTACT LENS (CLEAR & BLUE VISIBILITY TINT, LATHE-CUT","MED VICE CONSULTING, INC.",2000-06-13,K001584,Substantially Equivalent,MARTIN  DALSING,LPL,US,2000,"Lenses, Soft Contact, Daily Wear"
"IGEL 55UV (METHAFILCON A) SOFT (HYDROPHILIC) CONTACT LENS FOR DAILY WEAR,IGEL 55 UV MULTIFOCAL (METHAFILCON A) SOFT",IGEL VISION CARE PTE LTD.,2002-06-04,K020855,Substantially Equivalent,DEBBIE  MCINTIRE,LPL,US,2002,"Lenses, Soft Contact, Daily Wear"
SAVIE-AQUA 55UV (METHAFILCON A) TINNTED BLUE SOFT (HYDROPHILIC) CONTACT LENS,"ST. SHINE OPTICAL CO., LTD.",2012-10-26,K121201,Substantially Equivalent,ELLA  LEE,LPL,TW,2012,"Lenses, Soft Contact, Daily Wear"
"Largan DB / DB Color (ocufilcon D) Daily Wear Soft (hydrophilic) Contact Lens, Largan DB / DB Color (ocufilcon D) Daily Wear Soft (hydrophilic) Contact Lens for Astigma, Largan DB / DB Color (ocufilcon D) Daily Wear Soft (hydrophilic) Contact Lens for Presbyo","Largan Medical Co., Ltd.",2021-04-01,K202129,Substantially Equivalent,Amy  Tien,LPL,TW,2021,"Lenses, Soft Contact, Daily Wear"
Acuity 200 (fluoroxyfocon A) Rigid Gas Permeable Contact Lens,"Acuity Polymers, Inc.",2020-09-08,K201194,Substantially Equivalent,James A. Bonafini,HQD,US,2020,"Lens, Contact (Other Material) - Daily"
SYNERGEYES (PAFLUFOCON D HEM-IBERFILCON A) HYBRID CONTACT LENSES,"Synergeyes, Inc.",2006-06-22,K061120,Substantially Equivalent,"RICHARD E LIPPMAN, O.D.",HQD,US,2006,"Lens, Contact (Other Material) - Daily"
"SPECIALITY 42 UV (HEFILCON A) SOFT (HYDROPHILIC) CONTACT LENS FOR DAILY WEAR, SPECIALITY 42 UV TORIC (HEFILCON A) SOFT C","SPECIALTY ULTRAVISION, INC.",2001-05-23,K011089,Substantially Equivalent,DEBBIE  MCINTIRE,LPL,US,2001,"Lenses, Soft Contact, Daily Wear"
DAILIES AquaComfort Plus (DACP) / DACP FreshTech / DACP Toric / DACP Multifocal,"Alcon Laboratories, Inc.",2020-09-22,K202448,Substantially Equivalent,Sherri  Lakota,MVN,US,2020,"Lens, Contact, (Disposable)"
SEESOFT (POLYMACON) SOFT (HYDROPHILIC) ASPHERIC CONTACT LENS,"UNILENS CORP., USA",1996-03-28,K960380,Substantially Equivalent,JOSEPHA  BRUNO,LPL,US,1996,"Lenses, Soft Contact, Daily Wear"
"BENZ B36 (KOLFOCON B) RIGID GAS PERMEABLE (HYDROPHOBIC) DAILY WEAR CONTACT LENS (TINTED, LATHE-CUT FROM LENS BLANK)",BENZ RESEARCH AND DEVELOPMENT CORP.,1997-07-31,K963744,Substantially Equivalent,MARTIN  DALSING,HQD,US,1997,"Lens, Contact (Other Material) - Daily"
SMART PERFORMER 55 (Ocufilcon D) Soft (hydrophilic) Contact Lens,SMART PERFORMER CORP. LTD.,2016-05-17,K152657,Substantially Equivalent,Jeffersion  Shen,LPL,TW,2016,"Lenses, Soft Contact, Daily Wear"
NOVANEW RECONDITIONING SYSTEM FOR PROF. USE IN-OFFICE USE ONLY,"NOVAVISION, INC.",1996-08-15,K960584,Substantially Equivalent,ALAN J TOUCH,HQD,US,1996,"Lens, Contact (Other Material) - Daily"
"LL BI-FOCAL, DAILY WEAR CONTACT LENS","LOMBART LENSES, LTD.",1997-07-15,K971647,Substantially Equivalent,LISA  HAHN,LPL,US,1997,"Lenses, Soft Contact, Daily Wear"
NOVALENS/NOVAWET SPHJERICAL & PERCEPTION & VANGUARD MULTIFOCAL &/OR BIFOCAL (ROSIFOCON A) RIGID GAS PERMEABLE CONTACT LR,"NOVAVISION, INC.",1996-03-25,K955900,Substantially Equivalent,ALAN J TOUCH,HQD,US,1996,"Lens, Contact (Other Material) - Daily"
"Visionary Optics Scleral Contact Lens (roflufocon D, roflufocon E, hexafocon A, hexafocon B, tisilfocon A, fluoroxyfocon A)",Visionary Optics LLC,2024-02-21,K233325,Substantially Equivalent,Donald  Sanders,HQD,US,2024,"Lens, Contact (Other Material) - Daily"
TORIC EYE-Q (XYLOFILCON A) SOFT (HYDROPHILIC) TORIC MULTIFOCAL CONTACT LENS FOR DAILY WEAR,SOFLEX CONTACT LENS INDUSTRIES LTD.,2001-11-20,K013467,Substantially Equivalent,Kevin  Walls,LPL,US,2001,"Lenses, Soft Contact, Daily Wear"
ULTRACON/ULTRACON S RIGID GAS PERMEABLE CONTACT LENS FOR DAILY WEAR,"SPECIALTY ULTRAVISION, INC.",1998-08-04,K980197,Substantially Equivalent,IVALEE I COHEN,HQD,US,1998,"Lens, Contact (Other Material) - Daily"
W-55 (METHAFILON A) CONTACT LENS,"WESTCON CONTACT LENS CO., INC.",1996-03-28,K954524,Substantially Equivalent,MARTIN  DALSING,LPL,US,1996,"Lenses, Soft Contact, Daily Wear"
ACUVUE 2 COLOURS BRAND (ETAFILCON A) SOFT (HYDROPHILIC) CONTACT LENS WITH UV BLOCKER,"JOHNSON & JOHNSON VISION CARE, INC.",2003-01-22,K024177,Substantially Equivalent,JAMES W PARZIALE,LPL,US,2003,"Lenses, Soft Contact, Daily Wear"
BAUSCH + LOMB BIOTURE ONEDAY FOR PRESBYOPIA (NESOFILCON A) CONTACT LENS,BAUSCH & LOMB INCORPORATED,2013-12-20,K132715,Substantially Equivalent,JENNIFER  KNICLEY,LPL,US,2013,"Lenses, Soft Contact, Daily Wear"
"OCULAR SCIENCES, INC. BIOMEDICS UV ASPHERE (OCUFILCON D) SOFT (HYDROPHILIC) CONTACT LENS",CL MCINTOSH,2002-02-28,K020193,Substantially Equivalent,RICHARD E LIPPMAN,LPL,US,2002,"Lenses, Soft Contact, Daily Wear"
Sensor Medical Family of Vitrectomy Lenses and Products,"Sensor Medical Technology, LLC",2014-12-16,K142715,Substantially Equivalent,Louise  Culham,HJK,US,2014,"Lens, Contact, Polymethylmethacrylate, Diagnostic"
PVS BASICS,PARAGON VISION SCIENCES,1999-04-21,K984436,Substantially Equivalent,WILLIAM E MEYERS,HQD,US,1999,"Lens, Contact (Other Material) - Daily"
"ULTRAVUE/P, ULTRALVUE/C (HIOXIFILCON B)) SOFT (MULTIFOCAL) DAILY WEAR CONTACT LENS (CLEAR & YINTED, LATHE-CUT FROM LENS)",OPTI-CENTRE LABORATORIES,1998-03-02,K974599,Substantially Equivalent,MARTIN  DALSING,LPL,US,1998,"Lenses, Soft Contact, Daily Wear"
"Largan 55 UV (ocufilcon D) Daily Wear Soft (hydrophilic) Contact Lens, Largan 55 UV (ocufilcon D) Daily Wear Soft (hydrophilic) Contact Lens for Astigmatism, Largan 55 UV (ocufilcon D) Daily Wear Soft (hydrophilic) Contact Lens for Presbyopia",Largan Medical Co. Ltd.,2018-06-29,K181232,Substantially Equivalent,Amy  Tien,LPL,TW,2018,"Lenses, Soft Contact, Daily Wear"
BIOMEDICS 52 (OCUFILCON B) UV BLOCKING DAILY WEAR SOFT CONTACT LENS,OCULAR SCIENCES,2002-06-04,K020389,Substantially Equivalent,RICHARD E LIPPMAN,MVN,US,2002,"Lens, Contact, (Disposable)"
"FLEXLENS MULTIFOCAL SOFT CONTACT LENS, (HIOXIFILCON A) AND (HIOXIFILCON B) FOR DAILY WEAR",X-CEL CONTACTS,2007-03-12,K070308,Substantially Equivalent,KEVIN  RANDALL,LPL,US,2007,"Lenses, Soft Contact, Daily Wear"
AVAIRA SPHERIC AND TORIC (ENFILCON A) SOFT CONTACT LENS,"COOPERVISION, INC.",2013-12-23,K133627,Substantially Equivalent,ANNETTE  NELSON,LPL,US,2013,"Lenses, Soft Contact, Daily Wear"
Bausch + Lomb Biotrue ONEday for Astigmatism(nesofilcon A) Soft (hydrophilic) Contact Lens,Bausch & Lomb Incorporated,2015-02-13,K143632,Substantially Equivalent,Jessica  Burger,LPL,US,2015,"Lenses, Soft Contact, Daily Wear"
SAUFLON 55 UV SOFT (HYDROPHILIC) CONTACT LENS,"SAUFLON PHARMACEUTICALS, LTD.",2001-12-26,K013649,Substantially Equivalent,LIGIA  DELACRUZ,LPL,GB,2001,"Lenses, Soft Contact, Daily Wear"
"CANTOR & SILVER 5X TINTED (HIOXIFILCON A) SOFT (SPHERICAL & TORIC) DAILY WEAR CONTACT WEAR CONTACT LENS, TINTED (TRANSPA",CANTOR & SILVER LTD.,1999-04-21,K990757,Substantially Equivalent,MARTIN  DALSING,LPL,US,1999,"Lenses, Soft Contact, Daily Wear"
"BIOLENS Sphere (mangofilcon A) Soft (hydrophilic) Contact Lens for Daily Wear, BIOLENS Toric (mangofilcon A) Soft (hydrophilie) Contact Lens for Daily Wear, BIOLENS Multifocal (mangofilcon A) Soft (hydrophilic) contact lens for daily wear, BIOLENS Toric Multifocal (mangofilcon A) Soft (hydrophilic) contact lens for daily wear","ABB Optical Group, LLC",2015-04-30,K142820,Substantially Equivalent,John  Kenyon,LPL,US,2015,"Lenses, Soft Contact, Daily Wear"
"LSH (MANGOFILCON A) SPHERE SOFT (HYDROPHILIC) CONTACT LENS, LSH (MANGOFILCON A) MULTIFOCAL SOFT (HYDROPHILIC) CONTACT LE",THE LAGADO CORP.,2013-05-13,K120756,Substantially Equivalent,ELLEN  BEUCLER,LPL,US,2013,"Lenses, Soft Contact, Daily Wear"
QUADRASPHERIC FUNDUS LENS,"VOLK OPTICAL, INC.",1994-09-02,K943125,Substantially Equivalent,JAMES A GOLDSMITH,HJK,US,1994,"Lens, Contact, Polymethylmethacrylate, Diagnostic"
"BostonSight IC Corneal Lens, BostonSight IC Scleral Lens",Boston Foundation for Sight,2016-02-09,K153066,Substantially Equivalent,Eugene  Bonte,HQD,US,2016,"Lens, Contact (Other Material) - Daily"
"S-38 (POLYMACON) SOFT (HYDROPHILIC) CONTACT LENS, THE ESSTECH PS & SV (POLYMACON) SOFT (HYDROPHILIC) CONTACT LENS",NISSEL LTD.,1999-04-16,K990281,Substantially Equivalent,JOHN M SZABOCSIK,LPL,US,1999,"Lenses, Soft Contact, Daily Wear"
"ADVENTURE TINTS, COLOR ENHANCED TINTED SOFT CONTACT LENS","ADVENTURES IN COLOR TECHNOLOGY, LTD.",1999-05-10,K984098,Substantially Equivalent,MARTIN  DALSING,LPL,US,1999,"Lenses, Soft Contact, Daily Wear"
"OCULAR SCIENCES, INC. BIOMEDICS 52 (OCUFILCON D) UV BLOCKING DAILY WEAR SOFT CONTACT LENS","OCULAR SCIENCES PUERTO RICO, INC.",2001-01-06,K003136,Substantially Equivalent,RICHARD E LIPPMAN,LPL,US,2001,"Lenses, Soft Contact, Daily Wear"
Acuity 18 (enflufocon A) Rigid Gas Permeable Contact Lens,"Acuity Polymers, Inc.",2017-01-18,K163254,Substantially Equivalent,James A Bonafini,HQD,US,2017,"Lens, Contact (Other Material) - Daily"
"COLORSOFT, COLOR ENHANCED TINTED SOFT CONTACT LENS",COLORSOFT LABORATORIES CORP.,1999-06-03,K990815,Substantially Equivalent,MARTIN  DALSING,LPL,US,1999,"Lenses, Soft Contact, Daily Wear"
MENICON Z (TISILFOCON A) RIGID GAS PERMEABLE CONTACT LENS,MENICON CO. LTD.,1996-10-09,K962006,Substantially Equivalent,"A. WES  SIEGNER,, JR.",HQD,US,1996,"Lens, Contact (Other Material) - Daily"
"FIRESOFT-SIHY. IC DAILY WEAR CONTACT LENSES, FIRESOFT-55 DAILY WEAR CONTACT LENSES, FIRESOFT-49G DAILY WEAR CONTACT LENS","FIRESTONE OPTICS, INC.",2014-06-11,K133403,Substantially Equivalent,MARTIN  DALSING,LPL,US,2014,"Lenses, Soft Contact, Daily Wear"
"OPTIMUM GP (ROFLUFOCON A,B,C,D&E) DAILY WEAR CONTACT LENS.",CONTAMAC LTD.,2007-05-01,K070628,Substantially Equivalent,MARTIN  DALSING,HQD,US,2007,"Lens, Contact (Other Material) - Daily"
EZVUE (OCUFILCON D) 1-DAY SOFT (HYDROPHILIC)CONTACT LENS,I-SEE VISION TECHNOLOGY INC,2009-06-16,K082880,Substantially Equivalent,JENNIFER  REICH,LPL,US,2009,"Lenses, Soft Contact, Daily Wear"
One Day Flat Pack (hioxifilcon A) Daily Disposable Soft Contact Lens,"Menicon Co., Ltd.",2018-05-16,K180819,Substantially Equivalent,Kenichi  Tanaka,LPL,JP,2018,"Lenses, Soft Contact, Daily Wear"
"I-LUX INNOVA BLUE TINT LENS, MODEL SUPER O2",INNOVA VISION INC.,2004-03-05,K033136,Substantially Equivalent,JENNIFER  REICH,LPL,US,2004,"Lenses, Soft Contact, Daily Wear"
Boston ES (enflufocon A) Rigid Gas Permeable Contact Lens; Boston EO (enflufocon B) Rigid Gas Permeable Contact Lens; Boston XO (hexafocon A) Rigid Gas Permeable Contact Lens; Boston XO2 (hexafocon B) Rigid Gas Permeable Contact Lens,"Bausch & Lomb, Incorporated",2019-02-12,K183167,Substantially Equivalent,Glenn A. Davies,HQD,US,2019,"Lens, Contact (Other Material) - Daily"
"CONTAFLEX 55 (METHAFILCON) SPHERICAL SOFT CONTACT LENS FOR DAILY WEAR (CLEAR AND TINTED, LATHE-CUT)",CONTAMAC LTD.,2003-02-26,K023989,Substantially Equivalent,MARTIN  DALSING,LPL,US,2003,"Lenses, Soft Contact, Daily Wear"
BAUSCH & LOMB PREMIER 90 (BALAFILCON A) CONTACT LENS,"BAUSCH & LOMB, INC.",1994-12-19,K944895,Substantially Equivalent,MICHAEL  SANTALUCIA,LPL,US,1994,"Lenses, Soft Contact, Daily Wear"
OPTIKEM PMMA CONTACT LENS,"OPTIKEM POLYMERS, INC.",1990-02-27,K895411,Substantially Equivalent,WILLIAM  HOFFMAN,HPX,US,1990,"Lens, Contact (Polymethylmethacrylate)"
CANTOR & SILVER 5X PROSTHETIC TINTED (HIOXIFILCON A) SOFT DAILY WEAR CONTACT LENS,CANTOR & SILVER LTD.,1999-08-18,K992500,Substantially Equivalent,MARTIN  DALSING,LPL,US,1999,"Lenses, Soft Contact, Daily Wear"
"Ampleye Scleral RGP Lens (roflufocon D, roflufocon E, hexafocon A, paflufocon D)",Art Optical Contact Lens Inc,2017-09-20,K172314,Substantially Equivalent,Mike  Johnson,HQD,US,2017,"Lens, Contact (Other Material) - Daily"
CONTACT LENS OPHTHALMODYNAMOMETER,"MEDITRON, GMBH",2006-05-24,K052674,Substantially Equivalent,ROBERT N CLARK,NYK,US,2006,"Ophthalmodynamometer, Diagnostic Contact Lens, Polymethylmethacrylate (Pmma)"
"AL-47 (POLYMACON) SOFT (SPHERICAL & TORIC) DAILY WEAR CONTACT LENS (CLEAR & TINTED, LATHE-CUT FROM LENS BLANK)","ALDEN OPTICAL LABS., INC.",1997-12-08,K973967,Substantially Equivalent,MARTIN  DALSING,LPL,US,1997,"Lenses, Soft Contact, Daily Wear"
BOSTON EO RIGID GAS PERMEABLE CONTACT LENS MATERIAL (ENFLOFOCON B),"POLYMER TECHNOLOGY DIV. WILMINGTON PARTNERS, L.P.",1998-05-11,K980741,Substantially Equivalent,DEBRA L.B.  KETCHUM,HQD,US,1998,"Lens, Contact (Other Material) - Daily"
BAUSCH & LOMB SOFLENS MULTIFOCAL (POLYMACON) VISIBILITY TINTED CONTACT LENS,BAUSCH & LOMB,2002-05-16,K020927,Substantially Equivalent,DEBRA L. B KETCHUM,LPL,US,2002,"Lenses, Soft Contact, Daily Wear"
"COMFORTKONE KERATOCONUS ASPHERIC (HYBUFOCON A, FILOFILCON A, PEMUFOCON A) RIGID GAS PERMEABLE (RGP) DAILY WEAR CONTACT","METRO OPTICS, INC.",2003-02-12,K024164,Substantially Equivalent,DEANNA  WERBER,HQD,US,2003,"Lens, Contact (Other Material) - Daily"
"MARIETTA CONTACT LENS (POLYMACON), TINTED DAILY WEAR CONTACT LENS",MARIETTA VISION,2005-12-15,K052606,Substantially Equivalent,MARTIN  DALSING,LPL,US,2005,"Lenses, Soft Contact, Daily Wear"
C-VUE 55 TORIC (METHAFILCON A) MULTIFOCAL CONTACT LENS,"UNILENS CORP., USA",2004-07-07,K041608,Substantially Equivalent,JOSEPHA  BRUNO,LPL,US,2004,"Lenses, Soft Contact, Daily Wear"
FLOSI RIGID GAS PERMEABLE CONTACT LENS,FUTURISTIC DESIGN ASSOC.,1998-03-30,K974636,Substantially Equivalent,WILLIAM  PLATT,HQD,US,1998,"Lens, Contact (Other Material) - Daily"
LIFESTYLE 55 (METHAFILCON A) SOFT HYDROPHILIC CONTACT LENS,"PERMEABLE TECHNOLOGIES, INC.",1995-02-07,K945981,Substantially Equivalent,MARK K TYSON,LPL,US,1995,"Lenses, Soft Contact, Daily Wear"
"TYRO-97 (HOFOCON A), ONSI 56 (HOFOCON), RIGID GAS PERMEABLE SPHERICAL, ASPHERIC, TORIC AND BIFOCAL CONTACT LENS",THE LAGADO CORP.,2011-01-21,K102154,Substantially Equivalent,JOHN M SZABOCISK,HQD,US,2011,"Lens, Contact (Other Material) - Daily"
"METROFOCAL TORIC (POLYMACON) SOFT (MULTIFOCAL) DAILY WEAR CONTACT LENS (CLEAR & BLUE VISIBILITY TINT, LATHE-CUT FROM LEN","METRO OPTICS OF AUSTIN, INC.",2000-06-13,K001620,Substantially Equivalent,MARTIN D ALSING,LPL,US,2000,"Lenses, Soft Contact, Daily Wear"
"FOCUS DAILIES, FOCUS DAILIES TORIC AND FOCUS DAILIES PROGRESSIVES ONE-DAY SOFT CONTACT LENSES",CIBA VISION CORPORATION,2003-12-15,K033701,Substantially Equivalent,ALICIA M PLESNARSKI,MVN,US,2003,"Lens, Contact, (Disposable)"
HORIZON 55 BI-CON,"WESTCON CONTACT LENS CO., INC.",1994-12-28,K945365,Substantially Equivalent,MARTIN  DALSING,LPL,US,1994,"Lenses, Soft Contact, Daily Wear"
"BIOCURVE SOFT (METHAFILCON A) SPHERICAL AND TORIC SOFT CONTACT LENS FOR DAILY WEAR (CLEAR, LATHE-CUT)","AMERICAN CONTACT LENS, INC.",2001-03-16,K010223,Substantially Equivalent,MARTIN  DALSING,LPL,US,2001,"Lenses, Soft Contact, Daily Wear"
GELFLEX SYNERGY SOFT LENS HIOXFILCON 49% WATER CONTENT CLEAR OR BLUE VISITINT; GELFLEX HIOXIFILCON SOFT CONTACT LENS 49%,GELFLEX LABORATORIES,2003-04-01,K030027,Substantially Equivalent,PETER G BRYANT,LPL,AU,2003,"Lenses, Soft Contact, Daily Wear"
HYDROGENICS 2.0 60 UV ASPHERE (OCUFILCON F) SOFT (HYDROPHILIC) CONTACT LENS,"OCULAR SCIENCES, INC.",2003-07-18,K031477,Substantially Equivalent,RICHARD E LIPPMAN,LPL,US,2003,"Lenses, Soft Contact, Daily Wear"
"OCULAR SCIENCES, INC., BIOMEDICS 60 (OCUFILCON F) UV BLOCKING DAILY WEAR SOFT CONTACT LENS","OCULAR SCIENCES PUERTO RICO, INC.",1999-11-24,K992264,Substantially Equivalent,RICHARD E LIPPMAN,LPL,US,1999,"Lenses, Soft Contact, Daily Wear"
"Clalen 54 (hioxifilcon D) Soft (hydrophilic) Contact Lens for Daily Wear, Clalen 58 (hioxifilcon A) Soft (hydrophilic) Contact Lens for Daily Wear",Interojo Inc.,2016-04-08,K153766,Substantially Equivalent,Si-Chul  Rho,LPL,KR,2016,"Lenses, Soft Contact, Daily Wear"
FLUOROPERM 30 PARAGON HDS FLUOROPERM 60 PARAGON HDS 100 FLUOROPERM 92 FLUOROPERM 151 PARAGON THIN,PARAGON VISION SCIENCES,2012-06-28,K120996,Substantially Equivalent,WILLIAM E MEYERS,HQD,US,2012,"Lens, Contact (Other Material) - Daily"
Qualis (linofilcon A) Soft (Hydrophilic) Daily Wear Contact Lens,"Unicon Optical Co., Ltd",2022-01-18,K213216,Substantially Equivalent,Nick  Liao,LPL,TW,2022,"Lenses, Soft Contact, Daily Wear"
OPTIMUM HR-1.51 (HIFLUFOCON A) AND HR-1.53 (HIFLUFOCON B) DAILY WEAR CONTACT LENSES,CONTAMAC LTD.,2008-10-09,K081178,Substantially Equivalent,MARTIN  DALSING,HQD,US,2008,"Lens, Contact (Other Material) - Daily"
EASY DAY (METHAFILCON A) 1-DAY SOFT (HYDROPHILIC) CONTACT LENS,"JIANGSU HORIEN CONTACT LENS CO., LTD.",2013-08-30,K130931,Substantially Equivalent,JENNIFER  REICH,LPL,US,2013,"Lenses, Soft Contact, Daily Wear"
"POLYVUE 55 SINGLE VISION, TORIC AND MULTIFOCAL SOFT (HYDROPHILIC) CONTACT LENS FOR DAILY WEAR","POLYVUE DISTRIBUTION, INC.",2008-12-17,K080794,Substantially Equivalent,GAROLD L EDWARDS,LPL,US,2008,"Lenses, Soft Contact, Daily Wear"
"Acuity 18 (enflufocon A) Rigid Gas Permeable Contact Lens, Acuity 58 (enflufocon B) Rigid Gas Permeable Contact Lens, Acuity 85 (Oprifocon A) Rigid Gas Permeable Contact Lens, Acuity 100 (hexafocon A) Rigid Gas Permeable Contact Lens","Acuity Polymers, Inc.",2018-06-08,K180988,Substantially Equivalent,James A. Bonafini,HQD,US,2018,"Lens, Contact (Other Material) - Daily"
Intelliwave4,"ART OPTICAL CONTACT LENS, INC.",2015-01-12,K142641,Substantially Equivalent,MICHAEL  JOHNSON,LPL,US,2015,"Lenses, Soft Contact, Daily Wear"
"BAUSCH & LOMB PUREVISION (BALAFILCON A) VISIBILITY TINTED CONTACT LENS, BAUSCH & LOMB PUREVISION TORIC (BALAFILCON A) VI","BAUSCH & LOMB, INC.",2012-12-20,K122575,Substantially Equivalent,NANCY A FEHRMAN,LPL,US,2012,"Lenses, Soft Contact, Daily Wear"
BostonSight® Specialty Lenses,"Boston Foundation for Sight, Inc. d/b/a BostonSight",2024-08-14,K241571,Substantially Equivalent,Sara  Yost,HQD,US,2024,"Lens, Contact (Other Material) - Daily"
PUREVISION MULTI-FOCAL (BALAFILCON A) VISIBILITY TINTED CONTACT LENS,"BAUSCH & LOMB, INC.",2005-05-18,K050948,Substantially Equivalent,ANNE  ZAVERTNIK,LPL,US,2005,"Lenses, Soft Contact, Daily Wear"
SYNERGEYES SIG (PETRAFOCON A HEM-LARAFILCON A) HYBRID CONTACT LENS,"Synergeyes, Inc.",2009-05-20,K083921,Substantially Equivalent,RICHARD E LIPPMAN,HQD,US,2009,"Lens, Contact (Other Material) - Daily"
"SAFI-GEL DAILY DISPOSABLE (METHAFILCON A) SOFT (HYDROPHILIC) CONTACT LENS, SAFI-GEL DAILY DISPOSABLE TORIC ( METHAFILCON","SAFILENS, S.R.L.",2009-12-18,K090806,Substantially Equivalent,JOHN M SZABOCSIK,LPL,US,2009,"Lenses, Soft Contact, Daily Wear"
CHROMAGEN V3.0 READING AID SOFT CONTACT LENS,CANTOR & NISSEL LTD.,2002-05-09,K012132,Substantially Equivalent,MARTIN  DALSING,NIC,US,2002,"Lens, Contact, For Reading Discomfort"
"eLens Rigid Gas Permeable Contact Lens for Daily Wear, eLens Rigid Gas Permeable Contact Lens for Daily Wear Ortho-K",E&E Optics Inc.,2018-07-26,K181579,Substantially Equivalent,Bonnie  Wan,HQD,US,2018,"Lens, Contact (Other Material) - Daily"
GELFLEX TRITON HW SOFT BIFOCAL CONTACT LENS AND THE GELFLEX TRITON SOFT BIFOCAL CONTACT LENS,GELFLEX,2001-08-24,K011072,Substantially Equivalent,PETER G BRYANT,LPL,AU,2001,"Lenses, Soft Contact, Daily Wear"
Custom Stable(TM) Rigid Gas Permeable Scleral Contact Lens,"Valley Contax, Inc.",2017-03-24,K170335,Substantially Equivalent,Josh  Adams,HQD,US,2017,"Lens, Contact (Other Material) - Daily"
SMART PERFORMER (Polymacon) Soft (Hydrophilic) Contact Lens,SMART PERFORMER CORP. LTD.,2016-03-04,K151847,Substantially Equivalent,JEFFERSION  SHEN,LPL,TW,2016,"Lenses, Soft Contact, Daily Wear"
"PROSTHETIC, GELFLEX ALPHA, (POLYMACON) HYDROPHILIC CONTACT LENS FOR DAILY WEAR (CLEAR AND TINTED)",CL-TINTERS,2001-03-12,K010126,Substantially Equivalent,MARTIN S KNOPF,LPL,US,2001,"Lenses, Soft Contact, Daily Wear"
VizionFocus (mififilcon A) Silicone Hydrogel Soft (hydrophilic) Daily Disposable Contact Lens; VizionFocus Color (mififilcon A) Silicone Hydrogel Soft (hydrophilic) Daily Disposable Contact Lens,VizionFocus Inc.,2024-12-17,K242413,Substantially Equivalent,Angus  Shih,LPL,TW,2024,"Lenses, Soft Contact, Daily Wear"
CVUE ADVANCED (HIOXIFILCON D) SOFT (HYDROPHILIC) CONTACT LENS,"UNILENS CORP., USA",2008-09-11,K082393,Substantially Equivalent,ALAN J FRAZER,LPL,US,2008,"Lenses, Soft Contact, Daily Wear"
"CONTAFLEX GM3 49% (ACOFILCON B) SPHERICAL SOFT CONTACT LENS FOR DAILY WEAR (CLEAR AND TINTED, LATHE-CUT)",CONTAMAC LTD.,2003-02-14,K024045,Substantially Equivalent,MARTIN  DALSING,LPL,US,2003,"Lenses, Soft Contact, Daily Wear"
SynergEyes SiH with Hydra-PEG(petrafocon A hem-larafilcon A) Hybrid Daily Wear Lens,"SynergEyes, Inc.",2016-08-01,K160938,Substantially Equivalent,James  Kirchner,HQD,US,2016,"Lens, Contact (Other Material) - Daily"
"TYRO 97 (HOFOCON A) RIGID GAS PERMEABLE SPHERICAL, ASPHERIC, TORIC AND BIFOCAL CONTACT LENSES FOR DAILY WEAR",THE LAGADO CORP.,2005-11-02,K052507,Substantially Equivalent,JOHN M SZABOCSIK,HQD,US,2005,"Lens, Contact (Other Material) - Daily"
