main_keyword,patent_id,patent_title,patent_date,patent_abstract,assignee_organization,assignee_country,cpc_group_id,year,cpc_group_title
soft contact lens,8003024,Polyolefin contact lens molds and uses thereof,2011-08-23,"Contact lens molds and methods of producing soft cast-molded contact lens products are provided. The methods include placing a soft hydrophilic contact lens-forming composition in a cavity formed between a first mold member and a second mold member, subjecting the composition in the cavity to conditions effective to form a contact lens product from the composition, and repeating the placing and subjecting steps a plurality of times, thereby producing a plurality of soft contact lens products. At least the first mold members, and advantageously all of the first and second mold members, are injection-molded with a nucleated thermoplastic polyolefin resin having a melt flow rate in a range of 10 g/10 min to about 40 g/10 min.",CooperVision International Limited,BB,B29D11/00038,2011,"Producing optical elements, e.g. lenses or prisms -Production of simple or compound lenses-Production of contact lenses"
soft contact lens,7887111,Gripper for moving and positioning contact lenses,2011-02-15,"The invention provides a contact lens gripper comprising a tweezers gripper having first and second gripper arms hingedly connected to an actuation support for moving the free ends of the arms towards and away from each other so as to grasp and release a soft contact lens. The invention also provides a contact lens gripping unit comprising a mounting bar to which a plurality of individual contact lens grippers are mounted at a predetermined distance from each other, wherein each of the individual grippers is a contact lens gripper according to any one of the preceding claims.",NOVARTIS AG,CH,B29D11/00057,2011,"Producing optical elements, e.g. lenses or prisms -Production of simple or compound lenses-Production of contact lenses-characterised by the shape or surface condition of the edge, e.g. flashless, burrless, smooth"
soft contact lens,7722808,Method and kits for sterilizing and storing soft contact lenses,2010-05-25,"The present invention provides a method and a container for sterilizing a soft contact lens and for providing a sterilized storage package of the soft contact lens maintained in a packaging solution. By using the method and container of the invention, deformations of soft contact lenses during autoclave can be substantially reduced.",NOVARTIS AG,CH,A61L12/04,2010,"Methods or apparatus for disinfecting or sterilising contact lenses; Accessories therefor-using physical phenomena, e.g. electricity, ultrasonics or ultrafiltration-Heat "
soft contact lens,7717563,Contact lenses,2010-05-18,"Disclosed is a method of designing a soft contact lens, the method comprising the steps of: (a) measuring or defining a wavefront generated by passage of light through a selected eye and using the wavefront to generate a computer model of the optical characteristics of the selected eye; (b) measuring or defining the topography of the cornea of the selected eye; (c) incorporating into the computer model a soft contact lens, the posterior surface topography of which is defined by the topography of the cornea, offset by an arbitrary amount intended to represent the tear layer thickness of the selected eye, said lens having a defined thickness at a selected locus on the anterior surface; (d) calculating a desired topography for the anterior surface of the lens such that the wavefront will be corrected to assume a desired pattern (for example, preferably planar, the plane of which is perpendicular to the optical axis of the lens) when passing through the computer model eye/lens combination; (e) remodeling the lens off-eye by adapting the posterior topography of the lens to a desired posterior topography to be manufactured; and (f) recalculating a modified anterior topography required as a result of adapting the posterior topography, the modified anterior topography being intended to preserve the desired wavefront pattern defined in (d) when the lens is in situ on the selected eye.",Contact Lens Precision Laboratories Limited,GB,G02C7/048,2010,Optical parts -Lenses; Lens systems ; ; Methods of designing lenses-Contact lenses for the eyes -Means for stabilising the orientation of lenses in the eye
soft contact lens,7556375,Soft lens orthokeratology,2009-07-07,A corneal reshaping by means of a soft contact lens to manipulate tear pressure gradient to produce a dimensional change to the surface profile of the cornea of the wearer to provide at least a temporary change in the refractive state of the eye eliminating the need for other refractive corrections. The contact lens has mechanical properties and/or a geometric shape such that when the lens is fitted to the eye the pressure applied to the eye via the lens will vary in a radial direction between at least one zone of higher pressure and at least one zone of lower pressure so that wearing the lens will over time cause a dimensional change to the surface layer of the cornea.,The Institute for Eye Research Limited,AU,A61F9/0017,2009,"Methods or devices for treatment of the eyes; Devices for putting in contact-lenses; Devices to correct squinting; Apparatus to guide the blind; Protective devices for the eyes, carried on the body or in the hand -Introducing ophthalmic products into the ocular cavity or retaining products therein -implantable in, or in contact with, the eye, e.g. ocular inserts"
soft contact lens,7461937,Soft contact lenses displaying superior on-eye comfort,2008-12-09,"The present invention relates to soft contact lenses having an overall comfort preference of at least about 2 to 1 as compared to an Acuvue® contact lens and measured after one week of daily wear. The present invention further relates to a soft contact lens comprising an oxygen transmissibility greater than about 70 barrers/mm and physical properties suitable to provide wearer comfort over at least about 9 hours in at least about 80% of wearers, as measured in a randomized, double masked clinical study.","Johnson & Johnson Vision Care, Inc.",US,C08F226/10,2008,"Copolymers of compounds having one or more unsaturated aliphatic radicals, each having only one carbon-to-carbon double bond, and at least one being terminated by a single or double bond to nitrogen or by a heterocyclic ring containing nitrogen-by a heterocyclic ring containing nitrogen-N-Vinyl-pyrrolidone"
soft contact lens,7452075,Hydrodynamically operated multifocal contact lens,2008-11-18,"This invention pertains to a soft contact lens that has a body with a central zone aligned with the optical axis of the eye when a wearer wears the lens. A micro-channel filled with fluid, is positioned at or near the optic zone and is arranged so that when the fluid is pressurized, the micro-channel expands and changes the optical characteristics of the central zone. The pressure in the microchannel is controlled through changes to a reservoir disposed in the lens below the optic zone.",In Technology Holdings LLC,US,G02C7/041,2008,Optical parts -Lenses; Lens systems ; ; Methods of designing lenses-Contact lenses for the eyes -bifocal; multifocal
soft contact lens,7247270,Method and composition for reducing contact lens swelling,2007-07-24,"The present invention is directed to an ophthalmic solution for soft contact lenses for controlled release of polyethers into an eye's tear film. Polyether components of the subject solution are released from the soft contact lens material matrix over long time periods to produce longer lasting wetting performance, improved lubricity, improved end-of-the-day comfort and reduced feeling of dryness from wearing contact lenses. The present invention also includes the use of cationic polyelectrolytes for controlling the swelling of hydrogel contact lenses typically caused by the absorption of high concentrations of polyethers.",BAUSCH & LOMB INCORPORATED,US,C11D3/3707,2007,"Other compounding ingredients of detergent compositions covered in group C11D1/00-Organic compounds-Polymers -Macromolecular compounds obtained otherwise than by reactions only involving carbon-to-carbon unsaturated bonds-Polyethers, e.g. polyalkyleneoxides"
soft contact lens,7150529,Hybrid contact lens system and method,2006-12-19,A hybrid hard-soft contact lens is provided. Several embodiments of the invention include methods of coupling the hard and soft sections of the contact lens. Other embodiments of the invention include contact lens materials and coatings that increase oxygen transmission though the lens. Yet other embodiments of the invention are directed to cost-effective manufacturing methods of a hybrid hard-soft contact lens. This Abstract is provided for the sole purpose of complying with the Abstract requirement rules that allow a reader to quickly ascertain the subject matter of the disclosure contained herein. This Abstract is submitted with the explicit understanding that it will not be used to interpret or to limit the scope or the meaning of the claims.,"SYNERGEYES, INC.",US,G02C7/021,2006,Optical parts -Lenses; Lens systems ; ; Methods of designing lenses-with pattern for identification or with cosmetic or therapeutic effects 
soft contact lens,7137952,Intraocular pressure recording system,2006-11-21,"A new noninvasive approach for intraocular pressure (IOP) measurement allowing continuous monitoring over prolonged periods, regardless of patient's position and activities. The key element of this measurement method is a soft contact lens (1) including at least one strain gage (2) longitudinally arranged around the center of the contact lens and capable of measuring precisely spherical deformations of the eyeball induced by the changes in IOP. This information is transmitted with wires or (preferably) wirelessly in real time to an external recording system (14). The system is placed in the same way as a normal corrective contact lens, no anesthesia is required and patient vision remains almost completely unimpaired.",Ecole Polytechnique Federale de Lausanne/Service des Relations Industrielles,CH,A61B3/16,2006,"Apparatus for testing the eyes; Instruments for examining the eyes -Objective types, i.e. instruments for examining the eyes independent of the patients' perceptions or reactions-for measuring intraocular pressure, e.g. tonometers"
soft contact lens,7021760,Soft contact lens capable of engagement with an eye either right way out or inside out,2006-04-04,"A soft contact lens for fitting to an eye of a wearer in either a right way out orientation or in an inside out orientation; the lens including first and second generally arcuate surfaces each terminating at an edge of the lens; wherein, each said first and second surfaces are capable of forming either an anterior convex or posterior concave surface; wherein in said right way out orientation there is provided an anterior convex surface and a posterior concave surface and in said inside out orientation said right way out anterior convex surface is converted to a posterior concave surface and said right way out posterior concave surface is converted to a convex anterior surface.",Clearlab PTE Ltd.,SG,G02C7/048,2006,Optical parts -Lenses; Lens systems ; ; Methods of designing lenses-Contact lenses for the eyes -Means for stabilising the orientation of lenses in the eye
soft contact lens,6943203,Soft contact lenses,2005-09-13,A soft contact lens containing a silicone-hydrogel made by curing a reaction mixture containing a silicone-containing monomer.,"Johnson & Johnson Vision Care, Inc.",US,G02B1/043,2005,"Optical elements characterised by the material of which they are made; Optical coatings for optical elements-made of organic materials, e.g. plastics -Lenses-Contact lenses"
soft contact lens,6937328,Method for measuring refractive power and apparatus therefor,2005-08-30,"A refractive power measuring method is disclosed wherein a pattern plate 8 is disposed at a certain position in a measuring optical path in a measuring optical system 1, a measuring light emitted from a measuring light source 5 is received by a photosensor 9 through the pattern plate 8, a soft contact lens TL is disposed at a certain position in the measuring optical path, and a change of a pattern light received by the photosensor 9 is obtained to determine optical characteristic values of the soft contact lens. According to this method, the soft contact lens TL is disposed in a wet state at a certain position of the measuring optical path and scattered light resulting from scatter of the measuring light on a surface of the soft contact lens TL is received by the photosensor 9, then a state of scatter of the scattered light is determined from a change of a received light signal outputted from the photosensor 9 and there are obtained optical characteristic values when the received light signal is below a preset value.",TOPCON CORPORATION,JP,G01M11/0235,2005,"Testing of optical apparatus; Testing structures by optical methods not otherwise provided for-Testing optical properties-by measuring refractive power-by measuring multiple properties of lenses, automatic lens meters"
soft contact lens,6914086,Crosslinkable UV absorbing agent for UV absorbing lens,2005-07-05,A crosslinkable UV absorbing agent prepared by the following steps: (1) preparing a mixture of reactants comprising a UV absorbing compound (A) with multiple pendant hydroxyl groups and an unsaturated monoglycidyl compound (B) with both reactive glycidyl and vinyl groups; (2) mixing a base catalyst (C) with the mixture of reactants; (3) initiating a synthesis reaction of the crosslinkable UV absorbing agent under heating; and (4) recovering the resulting product after the synthesis reaction is completed. The crosslinkable UV absorbing agent is directly applicable in the lens formulation to replace conventional crosslinking agent and UV absorber used in the production of the soft contact lens without any purification or modification.,,,C07D249/18,2005,Heterocyclic compounds containing five-membered rings having three nitrogen atoms as the only ring hetero atoms-condensed with carbocyclic rings or ring systems-Benzotriazoles
soft contact lens,6896368,Multifocal soft contact lens with horizontally decentered lenslet and indicator marking,2005-05-24,"A multifocal soft contact lens has a main carrier lens with a distance vision axis coincident with its geometric center and extending transversely through the intersection of transverse horizontal and vertical reference axes, and a smaller near vision lenslet supported on the carrier lens. The lenslet has a near vision axis extending through the horizontal reference axis in a nasally decentered relationship with the distance vision axis. To facilitate the proper rotational placement of the lens on the eye of a wearer, a nasal indicator mark is appropriately formed on the horizontal reference axis of the lens in a nasally offset relationship with the carrier lens center.",,,G02C7/021,2005,Optical parts -Lenses; Lens systems ; ; Methods of designing lenses-with pattern for identification or with cosmetic or therapeutic effects 
soft contact lens,6866462,Flexible pedestal for inverting soft contact lenses,2005-03-15,"A pedestal for inverting a soft contact lens has been invented. The pedestal of the invention has an inner surface, an outer surface, a dome shape capable of supporting the back surface of the contact lens or the front surface of that contact lens which has been inverted, is made from an elastic material which allows a negative pressure gradient to be generated from the outer surface to the inner surface, and has an elastic top which is capable of collapsing in to invert the contact lens.",Norortis AG,CH,B29C31/00,2005,"Handling, e.g. feeding of the material to be shaped ; , storage of plastics material before moulding; Automation, i.e. automated handling lines in plastics processing plants, e.g. using manipulators or robots "
soft contact lens,6867245,Long wearable soft contact lens,2005-03-15,"The present invention relates to a soft contact lens, and provides a contact lens which shows small and stable contact angle to water at its surface in water as well as in air, little deposition in wearing, high oxygen permeability, no adhesion of lens to a cornea and superior extended-wearing characteristics. The present invention provides a hydrogel soft contact lens which has contact angle at a lens surface in a range of 10-50° by the captive bubble method in water and 30-90° by the sessile drop method in air, oxygen permeability of not less than 30 and water content of not less than 5%, and also a hydrogel soft contact lens consisting of a polymer comprising a hydrophilic siloxanyl monomer shown by a specified general formula.","ASAHI KASEI AIME CO., LTD.",JP,C08F226/02,2005,"Copolymers of compounds having one or more unsaturated aliphatic radicals, each having only one carbon-to-carbon double bond, and at least one being terminated by a single or double bond to nitrogen or by a heterocyclic ring containing nitrogen-by a single or double bond to nitrogen"
soft contact lens,6708397,Inlay station with alignment assemblies and transfer tubes,2004-03-23,"In a soft contact lens manufacturing process, an injection molding machine (IMM) produces many thermoplastic injection molded front curve (FC) and back curve (BC) mold parts, each of which mold parts is subsequently used only once to mold a single soft contact lens. An inlay station with alignment assemblies and transfer tubes provide for the precise transfer to and alignment of the FC and BC molds in pallets during their transfer from the IMM to pallets on an assembly line in a high speed automated commercial production operation. A rotatable FC transfer arm and a rotatable BC transfer arm transfer the FC and BC molds from the IMM machine to the pallets in an inlay station. The precisely aligned transfer is provided by two alignment rods of an alignment assembly which pass through two alignment apertures in the pallet and then pass through two alignment apertures in one of the FC or BC alignment arms.","Johnson & Johnson Vision Care, Inc.",US,B29D11/0024,2004,"Producing optical elements, e.g. lenses or prisms -Production of simple or compound lenses-Production of contact lenses-Auxiliary operations, e.g. removing oxygen from the mould, conveying moulds from a storage to the production line in an inert atmosphere-Transferring contact lenses-using a vacuum suction gripper"
soft contact lens,6623786,Method for hydrogel surface treatment,2003-09-23,"A method of modifying the surface characteristics of a polymeric hydrogel, and a polymer article formed therefrom, without causing substantial swelling or distortion or the hydrogel. A preferred method includes photoinitating of the surface of the article with a benzophenone and grafting a macromer having a number-average molecular weight greater than 1000 in the presence of UV irradiation. The preferred article is a siloxane-containing hydrogel, especially a soft contact lens.",NOVARTIS AG,CH,G02B1/043,2003,"Optical elements characterised by the material of which they are made; Optical coatings for optical elements-made of organic materials, e.g. plastics -Lenses-Contact lenses"
soft contact lens,6602930,Materials for contact lenses comprising a macromer having the polysiloxane structure in the side chain,2003-08-05,"A material for contact lenses having excellent flexibility and oxygen permeability are disclosed. The material comprises a copolymer essentially comprising a siloxane macromer of component (A) which has the number-average molecular weight of from about 1,000 to 10,000 and is represented by the general formula (I), a water-insoluble monoolefin monomer of component (B), and a water-soluble monoolefin monomer of component (C). A soft contact lens which is obtained by injecting to a mold in the shape of contact lens the components (A), (B) and (C); copolymerizing the monomer mixture; and making the resulting copolymer contain water,",Hoya Healthcare Corporation,JP,C08G18/6795,2003,Polymeric products of isocyanates or isothiocyanates-with compounds having active hydrogen-characterised by the compounds used containing active hydrogen-Unsaturated compounds having active hydrogen-Unsaturated polyethers
soft contact lens,RE38193,Contact lens utilizing Stiles-Crawford effect,2003-07-22,"The present apparatus comprises a lens body of conventional soft contact lens composition, having a generally spherical concave back surface adapted to fit the cornea of the eye, and a generally convex front surface. The lens preferably includes a prism ballast to ensure correct orientation. The lens of the present invention is made of opaque or other substances which generally do not transmit light. In the process, the eye is mapped with a conventional field test to determine the diseased portion of the eye and those portions of the eye having optical perception. Through the lens surface, circular channels or &#8220;pinholes&#8221; which traverse the entire thickness of the lens are placed in an area which maps and therefore corresponds to the portion of the retina having optical perception. Light incident on the underlying portion of the retina having optical perception through the pinholes provides improved vision. These pinholes can be made in the form of channels. Such channels further increase tear distribution under the lens with improved comfort to the wearer. The channels additionally provide increased oxygen flow to the cornea and lens, thereby diminishing the physiological burden occasioned by standard soft contact lens.",,,,2003,
soft contact lens,6511179,Design of a soft contact lens based upon novel methods of corneal topographic analysis,2003-01-28,"A method is provided which is used to design soft contact lens via corneal topographic analysis. The topography of the cornea is matched to a corresponding topography of a soft contact lens. A geometrical transformation which maps the corneal elevation onto the back surface of an unflexed soft contact lens is used to minimize errors induced by flexure of the lens. The mapping transformation takes into account the effects of flexure. As a result, the contact lens has a back surface with a curvature which matches the specific elevations of the cornea, while the front surface can be spherical or any desired symmetrical or asymmetrical shape.","Johnson & Johnson Vision Care, Inc.",US,G02C7/04,2003,Optical parts -Lenses; Lens systems ; ; Methods of designing lenses-Contact lenses for the eyes 
soft contact lens,6364098,Soft contact lens cleaning and storage system,2002-04-02,"A unique container system for holding and cleaning a soft contact lens over a period of time. The system includes a container base having a substantially dry cavity. A hydrophilic fixation and cleaning member is wetted and disposed within the substantially dry cavity. The contact lens is placed on the hydrophilic fixation member and held in a desired orientation while remaining hydrated due to the moisture from the hydrophilic fixation member. Also, a cover is disposed over the substantially dry cavity to enclose the hydrophilic fixation member and the contact lens during storage.",Third Millenium Trust,US,G02C13/008,2002,Assembling ; Repairing; Cleaning -Devices specially adapted for cleaning contact lenses
soft contact lens,6305802,System and method of integrating corneal topographic data and ocular wavefront data with primary ametropia measurements to create a soft contact lens design,2001-10-23,"A system and method is provided for integrating corneal topographic data and ocular wavefront data with primary ametropia measurements to create a soft contact lens design. Corneal topographic data is used to design a better fitting soft contact lens by achieving a contact lens back surface which is uniquely matched to a particular corneal topography, or which is an averaged shape based on the particular corneal topography. In the case of a uniquely matched contact lens back surface, the unique back surface design also corrects for the primary and higher order optical aberrations of the cornea. Additionally, ocular wavefront analysis is used to determine the total optical aberration present in the eye. The total optical aberration, less any corneal optical aberration corrected utilizing the contact lens back surface, is corrected via the contact lens front surface design. The contact lens front surface is further designed to take into account the conventional refractive prescription elements required for a particular eye. As a result, the lens produced exhibits an improved custom fit, optimal refractive error correction and vision.",Johnson & Johnson Vision Products Inc.,US,G02C7/04,2001,Optical parts -Lenses; Lens systems ; ; Methods of designing lenses-Contact lenses for the eyes 
soft contact lens,6258591,"One-pack preparation for disinfection, neutralization and cleaning of contact lenses and method of disinfection, neutralization and cleaning",2001-07-10,"The present invention provides a combined formulation for disinfecting, neutralizing and cleaning a soft contact lens and a method using the same easily, efficiently and safely. The formulation is a one-solution type of combined formulation for disinfecting, neutralizing and cleaning a soft contact lens, which includes a first formulation that contains an iodine-based disinfectant and a proteolytic enzyme and a second formulation that contains a reducing and a foaming agent treated with a delayed release coating, and which contains a nonionic surfactant in at least one of the first and second formulations. A stained soft contact lens can be disinfected, neutralized and cleaned easily by holding it in an aqueous solution colored yellow or brown by iodine molecules and removing it from the aqueous solution after the solution becomes almost colorless.",OPHTECS CORPORATION,JP,C11D3/485,2001,"Other compounding ingredients of detergent compositions covered in group C11D1/00-Medical, disinfecting agents, disinfecting, antibacterial, germicidal or antimicrobial compositions-Halophors, e.g. iodophors"
soft contact lens,6220845,Mold clamping and precure of a polymerizable hydrogel,2001-04-24,"An apparatus and method for partially curing a polymerizable monomer or monomer mixture to form a soft contact lens includes a transport device for transporting a plurality of contact lens molds to a precure station in a low oxygen environment, each contact lens mold including a first and second mold half with a polymerizable monomer or monomer mixture therebetween. A clamping member having a plurality of mold engagement members clamps a first contact lens mold half against a second contact lens mold half for a predetermined pressure and time. While the mold halves of the contact lens mold are clamped, the polymerizable monomer or monomer mixture is exposed to a radiant energy source for polymerizing the polymerizable monomer or monomer mixture contained in each contact lens mold.","Johnson & Johnson Vision Care, Inc.",US,B29D11/00134,2001,"Producing optical elements, e.g. lenses or prisms -Production of simple or compound lenses-Production of contact lenses-Auxiliary operations, e.g. removing oxygen from the mould, conveying moulds from a storage to the production line in an inert atmosphere-Curing of the contact lens material"
soft contact lens,6193806,Device for transmitting an impulse for cleaning soft contact lens,2001-02-27,"A soft contact lens cleaning device is disclosed which imparts a high amplitude short duration mechanically generated force to the lenses while the lenses are stored within their standard storage case. The shock of the force dislodges protein, film and other buildups which become attached to the lens surface while being worn in the eyes of a user. Embodiments are disclosed comprising leaf, coil and torsional spring members along with a solenoid member.",,,G02C13/008,2001,Assembling ; Repairing; Cleaning -Devices specially adapted for cleaning contact lenses
soft contact lens,6082856,Methods for designing and making contact lenses having aberration control and contact lenses made thereby,2000-07-04,"A method for constructing a soft contact lens having a prescribed power correction for focusing light on the retina of an eye is described. The method provides a soft contact lens that, when in place (""flexed"") on the wearer's eye, is designed and manufactured to provide a substantially ellipsoidal anterior surface. In the method, an eye model including a cornea, a crystalline lens and a retina is constructed. Then a shape for an anterior surface of the cornea is selected to be a conic section having an eccentricity in the range of about 0.14<e<0.63. Next, a preliminary soft contact lens is selected having a center thickness, a radius, a posterior contact lens surface and an anterior contact lens surface to provide a prescribed plus or minus correction power such that, when applied to the anterior surface of the cornea, the anterior contact lens surface defining a conic section having a shape factor in the range of 0<E<1 or -1<E<0. An analysis is performed using the preliminary soft contact lens and eye model tracing light ray paths through the contact lens/eye system. The shape factor of the anterior contact lens surface when applied to the anterior surface of the cornea is varied within the range of 0<E<1 or -1<E<0 to achieve an contact lens/eye system wherein a trace of light ray paths is optimized for sharpest focus by minimizing a retinal spot size of the rays. Thus, an optimized anterior contact lens surface for the soft contact lens when applied to the anterior surface of the cornea is defined. A thickness profile is calculated for the optimum contact lens using the differences in distance between the anterior surface of the cornea and the optimized anterior contact lens surface at various values of the contact lens radius from the center of the contact lens. Contact lenses having the calculated thickness profile can be made by conventional methods. Both monofocal and multifocal lenses having optimized aberration correction can be made.","Polyvue Technologies, Inc.",US,G02C7/028,2000,Optical parts -Lenses; Lens systems ; ; Methods of designing lenses-Methods of designing ophthalmic lenses-Special mathematical design techniques
soft contact lens,5981675,Silicone-containing macromonomers and low water materials,1999-11-09,Low water siloxane macromonomer are disclosed. This macromonomer can be copolymerized with unsaturated silicone containing monomers to prepare polymeric materials useful as biomedical devices. These macromonomers are particularly suited for soft contact lens applications.,BAUSCH & LOMB INCORPORATED,US,C08F290/12,1999,Macromolecular compounds obtained by polymerising monomers on to polymers modified by introduction of aliphatic unsaturated end or side groups-on to polymers modified by introduction of unsaturated side groups-Polymers provided for in subclasses C08C or C08F
soft contact lens,5962005,Transparent cellulose hydrogel and production process thereof,1999-10-05,"A transparent cellulose hydrogel having a transmittance of visible light of not less than 70%/mm and a tensile strength of not less than 10 kg/cm.sup.2, wherein the hydroxyl groups of cellulose constituting said hydrogel are not chemically crosslinked; and a process for producing a transparent cellulose hydrogel, comprising coagulation and regeneration of cellulose from a cellulose solution using an aqueous solution containing an organic solvent in a proportion of 20-95 wt %. The cellulose hydrogel of the present invention is useful as a raw material of an ophthalmic material, such as soft contact lens, artificial crystal lens, artificial cornea, artificial vitreous body and the like, a carrier of fragrance, and a base of gel and cream, and the like. In addition, the transparent cellulose hydrogel of the present invention has a densely packed and uniform structure, so that it can provide a material of a separation membrane having a small molecular cutoff and high pressure resistance.","RENGO CO., LTD.",JP,B01J13/0065,1999,"Colloid chemistry, e.g. the production of colloidal materials or their solutions, not otherwise provided for; Making microcapsules or microballoons-Preparation of gels-containing an organic phase"
soft contact lens,5785370,Soft contact lens manipulating device,1998-07-28,"A soft contact lens pickup and insertion device (10) featuring a flat, annular terminus (16) designed to engage the apex of the convex side of a soft contact lens without deforming the lens is provided together with a hollow, rigid shank (12) and a hollow, pliable vacuum actuating bulb (14). A vacuum effect generated by compressing and releasing the bulb is communicated through the adjoining shank and out upon the contiguous terminus end in order to attract and engage a soft contact lens into a position which it may subsequently be inserted upon the cornea of a user's eye.",,,A61F9/0061,1998,"Methods or devices for treatment of the eyes; Devices for putting in contact-lenses; Devices to correct squinting; Apparatus to guide the blind; Protective devices for the eyes, carried on the body or in the hand -Devices for putting-in contact lenses"
soft contact lens,5786434,Water-absorptive soft contact lens material and contact lens made thereof,1998-07-28,"A water-absorptive soft contact lens material having a high transparency, an excellent flexibility, a high oxygen permeability independent of water content, a high mechanical strength and an adequate hardness, which comprises a copolymer prepared by the polymerization of a monomer mixture comprising an N,N-dialkyl acrylamide or methacrylamide, an N-vinyllactam and a bis(silicon-containing alkyl) fumarate in a specific ratio, and which provides water-absorptive soft contact lenses having excellent properties such as high transparency and high oxygen permeability.","MENICON CO., LTD.",JP,C08F230/08,1998,"Copolymers of compounds having one or more unsaturated aliphatic radicals, each having only one carbon-to-carbon double bond, and containing phosphorus, selenium, tellurium or a metal-containing a metal-containing silicon"
soft contact lens,5770637,"Anti-bacterial, UV absorbable, tinted, metal-chelating polymers",1998-06-23,"A soft contact lens which comprises a water-swollen gel of a polymer prepared by polymerizing one or more hydrophilic monomers such as 2-hydroxyethyl methacrylate, one or more cross-linking monomers, a monomer that contains metal-chelating functionality such as an aminopolycarboxylic acid that contains a polymerizable olefinic group, and an effective amount of iron to absorb UV light and/or an effective amount of copper to cause the lens to be tinted.",Johnson & Johnson Vision Products Inc.,US,G02B1/043,1998,"Optical elements characterised by the material of which they are made; Optical coatings for optical elements-made of organic materials, e.g. plastics -Lenses-Contact lenses"
soft contact lens,5753150,Low oxygen molding of soft contact lenses,1998-05-19,"A process for providing degassed complementary concave and convex lens molds to filling and mold assembly stations in a continuous or semicontinuous automated soft contact lens manufacturing system. The process includes injection molding the lens molds, immediately transferring the lens molds to an inert gas atmosphere, degassing the lens molds, and filling the lens molds with a polymerizable monomer under the inert gas prior to mold assembly.",Johnson & Johnson Vision Products Inc.,US,B29C33/3842,1998,"Moulds or cores; Details thereof or accessories therefor-characterised by the material or the manufacturing process -Manufacturing moulds, e.g. shaping the mould surface by machining"
soft contact lens,5741830,Water-absorptive soft contact lens,1998-04-21,"A water-absorptive soft contact lens comprising a polymer prepared by polymerizing a monomer mixture comprising (A) a fluorine-containing styrene derivative represented by the general formula (I): ##STR1## wherein R.sup.1 is hydrogen atom or methyl group, m is an integer of 1 to 3 and n is 0 or an integer of 1 to 7, and (B) N, N-dimethyl(meth)acrylamide. The water-absorptive soft contact lens has excellent oxygen permeability, high mechanical strength and excellent flexibility independent of water content.","MENICON CO., LTD.",JP,G02B1/043,1998,"Optical elements characterised by the material of which they are made; Optical coatings for optical elements-made of organic materials, e.g. plastics -Lenses-Contact lenses"
soft contact lens,5719656,Contact lens utilizing stiles-crawford effect,1998-02-17,"The present apparatus comprises a lens body of conventional soft contact lens composition, having a generally spherical concave back surface adapted to fit the cornea of the eye, and a generally convex front surface. The lens preferably includes a prism ballast to ensure correct orientation. The lens of the present invention is made of opaque or other substances which generally do not transmit light. In the process, the eye is mapped with a conventional field test to determine the diseased portion of the eye and those portions of the eye having optical perception. Through the lens surface, circular channels or ""pinholes"" which traverse the entire thickness of the lens are placed in an area which maps and therefore corresponds to the portion of the retina having optical perception. Light incident on the underlying portion of the retina having optical perception through the pinholes provides improved vision. These pinholes can be made in the form of channels. Such channels further increase tear distribution under the lens with improved comfort to the wearer. The channels additionally provide increased oxygen flow to the cornea and lens, thereby diminishing the physiological burden occasioned by standard soft contact lens.",,,G02C7/16,1998,"Optical parts -Shades; shields; Obturators, e.g. with pinhole, with slot "
soft contact lens,5702735,Molding arrangement to achieve short mold cycle time,1997-12-30,"An apparatus for molding polystyrene mold halves which are used, for subsequent molding of a soft contact lens. The apparatus is designed with superior heat conduction capacity so as to minimize the molding cycle time, while simultaneously producing uniformly precise and accurate optical quality surfaces. Molten polystyrene is provided via a hot runner system to a plurality of mold cavities. In a specific variation, the convex surface provides the optical quality surface to the concave surface of the mold half produced thereby. The structural element which defines the convex surface includes a hollow cylindrical bushing and a removable power insert mounted therein, which may be changed so that the prescription strength of the contact lens to be formed by the mold may be varied. In a first embodiment, the power insert includes only a convex surface at its operational end. In a second embodiment, the power insert includes an annular flat surface surrounding the convex surface, defining at the junction therebetween a discontinuity of curvature, which imparts a sharp edge to the mold half formed thereby. The power insert may be constructed of pure steel, or alternatively, it may be made of brass, copper chromium, or cobalt-nickel alloyed martensitic steel. The power insert may be coated with a surface layer of nickel phosphor or silicone oxide, or chrome nitride. These layers may be turned to their proper thicknesses and dimensions by diamond cutters, and they may be thermally hardened.",Johnson & Johnson Vision Products Inc.,US,B29D11/0048,1997,"Producing optical elements, e.g. lenses or prisms -Production of simple or compound lenses-Moulds for lenses "
soft contact lens,5684059,Fluorine containing soft contact lens hydrogels,1997-11-04,"An improved soft contact lens material, existing as a hydrogel, is formed by a polymer containing a fluorinated monomer, a hydroxyalkyl ester of acrylic or methacrylic acid, and an N-vinyl lactam. The polymer may also contain other hydrophilic and/or hard hydrophobic monomers, crosslinking agents, and uv-absorbing agents. Contact lenses made of these combinations have high water of hydrations, are highly wettable, have extremely high oxygen permeabilities and are resistant to protein deposits and other forms of attached debris.",,,G02B1/043,1997,"Optical elements characterised by the material of which they are made; Optical coatings for optical elements-made of organic materials, e.g. plastics -Lenses-Contact lenses"
